POLNR;GEVO;DATUM;BETRAG
7000014;STO;01.04.2026;43936.59
7000028;TOD;01.03.2026;55000.00
7000038;TOD;01.12.2026;76000.00
7000060;ERH;01.09.2026;2900.00
7000068;ERH;01.02.2026;1850.00
7000072;ERH;01.07.2026;13600.00
7000084;TOD;01.04.2026;93000.00
7000108;ERH;01.04.2026;3900.00
7000126;ERH;01.09.2026;4600.00
7000128;ERH;01.08.2026;3000.00
7000139;ERH;01.04.2026;5500.00
7000140;ERH;01.04.2026;2200.00
7000149;PEX;01.06.2026;26085.02
7000158;STO;01.02.2026;49698.46
7000159;STO;01.10.2026;30514.73
7000176;ERH;01.07.2026;4950.00
7000189;STO;01.04.2026;56104.53
7000195;PEX;01.07.2026;148123.93
7000229;ERH;01.08.2026;1600.00
7000235;ERH;01.11.2026;4450.00
7000237;ERH;01.03.2026;3550.00
7000243;ERH;01.02.2026;1300.00
7000244;STO;01.05.2026;16426.12
7000284;ERH;01.02.2026;2550.00
7000287;PEX;01.02.2026;16408.07
7000292;ERH;01.05.2026;1750.00
7000311;PEX;01.05.2026;31983.86
7000317;ERH;01.03.2026;3600.00
7000331;ERH;01.04.2026;2150.00
7000336;STO;01.11.2026;60044.47
7000354;PEX;01.03.2026;107562.48
7000361;ERH;01.12.2026;4250.00
7000379;ERH;01.09.2026;3050.00
7000407;ERH;01.06.2026;9750.00
7000424;ERH;01.05.2026;5250.00
7000429;ERH;01.02.2026;4150.00
7000435;ERH;01.11.2026;2550.00
7000480;ERH;01.04.2026;4700.00
